0,1
Comment,"""SAME AS FROM 452.8-480.9m, SMALL BX ON UPPER CONTACT"""
Comments,Same as gabbro albeit finer grained and slightly banded.  Abesence of interstitial zones.
Comments,same as hanging wall in rest of winddine micacous (Fe) rock (ch)
Description,"""Same as Hw except lrg. 5-12mm crystals """"A-K-S"""" andalusite-kyanite-sillimanite� cordierite?"""
Comments,same as immediately above only now have magnetic shale beds withno quartzite layers; at 127.3 ; 127.6 irregular quartz vein with fragments; at 128.3 have 1.5cm strongly magnetic beds and at 129.75 have 2mm solid magnetite layer
Comment,"""SAME AS INTERVAL AT 892.3 WITH SLST INTERBEDS, VERY DISRUPTED SLST, SOFT SED DEF."""
Comment,SAME AS INTERVAL FROM 882.4m
Comment,SAME AS MAS SLST FROM 1120.8m
Description,Same as non-mag unit dominating MGD006 (Aag with CH ppbs); possible marker horizon/unit?
Comment,SAME AS PMBX @ 1078.2m
comments,same as previous interval but very little ferruginous gravels
Comments,"""Same as previous units but carbonate and talc replacement occuring in bedding plane parallel bands up to 15mm wide. At 149.2 abupt end to nit, ductile type shear healed about 30cm wide with some carbonate infill."""
Comments,Same as previous units but talc replacement occuring in bedding plane parallel bands up to 15mm wide
Comment,SAME AS RHD AT 582m
Comments,"""Same as unit above but carbonate bedding parallel and cross cutting veinlets , highly variable vein widths few mm to 40mm, show brittle features  and dilation type emplacement. Still sub parallel to CA."""
Description,"""Same as unit dominating MGD006, intervals of CH present and Aaa, non-mag."""
Comments,Same as zone above but with regular quartzite venlets
Comments,"Same, but  becoming more purply downhole"
Comments,same but chips are bigger: black;red; angular; f.gr.; hard (silicified)
Comments,same calcrete [colour change]
Comment,SAME CLT BLOBS ON CONTACT *PET* AS ABOVE BUT NOT FOLIATED ALSO BECOMES CG'D GABBRO DOWNHOLE
Comments,same colluvial deposit only now stained red on polished core surface
