Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,
141,1399612,2,3.0,Nnd,Sand,bioclastic,101,
141,1399615,112,113.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,112,113.0,Ncl,Clay loams and Clay,mud,101,
141,993857,10,11.0,Nnd,Sand,bioclastic,101,
141,1399614,4,5.0,Nnd,Sand,bioclastic,101,
141,1399614,4,5.0,Nnd,Sand,bioclastic,101,
141,993857,10,11.0,Nnd,Sand,bioclastic,101,
141,993859,17,18.0,Nnd,Sand,bioclastic,101,
141,993859,108,109.0,Ncl,Clay loams and Clay,mud,101,
141,993859,108,109.0,Ncl,Clay loams and Clay,mud,101,
141,993857,39,40.0,Ncl,Clay loams and Clay,mud,101,
141,993857,39,40.0,Ncl,Clay loams and Clay,mud,101,
141,993860,85,86.0,Ncl,Clay loams and Clay,mud,101,
141,993860,85,86.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,993859,17,18.0,Nnd,Sand,bioclastic,101,
141,1399616,83,84.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,83,84.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,98,99.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,98,99.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,993858,79,80.0,Ncl,Clay loams and Clay,mud,101,
141,993858,79,80.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,90,91.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,90,91.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,160,161.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,160,161.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,153,154.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,153,154.0,Shcc,Carbonaceous shale,mudstone,101,
141,993861,14,15.0,Nnd,Sand,bioclastic,101,
141,993861,14,15.0,Nnd,Sand,bioclastic,101,
141,1399616,74,75.0,Ng,Gravel,gravel,101,
141,993858,37,38.0,Ncl,Clay loams and Clay,mud,101,
141,993858,37,38.0,Ncl,Clay loams and Clay,mud,101,
141,993860,79,80.0,Ncl,Clay loams and Clay,mud,101,
141,993860,79,80.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,74,75.0,Ng,Gravel,gravel,101,
141,1399613,92,93.0,Ng,Gravel,gravel,101,
141,993859,0,1.0,Nnd,Sand,bioclastic,101,
141,993859,0,1.0,Nnd,Sand,bioclastic,101,
141,1399613,92,93.0,Ng,Gravel,gravel,101,
