Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Level_3,Level_2,Level_1
141,993860,86.0,87.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,87.0,88.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,88.0,89.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,89.0,90.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,90.0,91.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,91.0,92.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,92.0,93.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,93.0,94.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,94.0,95.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,95.0,96.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993860,96.0,97.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993860,97.0,98.0,Ng,Gravel,gravel,101,gravel,sediment_clastic,sediment
141,993860,98.0,99.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,99.0,100.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,100.0,101.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,101.0,102.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,102.0,103.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,103.0,104.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,104.0,105.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,105.0,106.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,106.0,107.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,107.0,108.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,108.0,109.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,109.0,110.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,110.0,111.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,111.0,112.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,112.0,113.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,113.0,114.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,114.0,115.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,115.0,116.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,116.0,117.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,117.0,118.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,118.0,119.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,119.0,120.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,120.0,121.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,121.0,122.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,122.0,123.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,123.0,124.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,124.0,125.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,125.0,126.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,126.0,127.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,127.0,128.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,128.0,129.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,129.0,130.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,130.0,131.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,131.0,132.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,132.0,133.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,133.0,134.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,134.0,135.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,135.0,136.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,136.0,137.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,137.0,138.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,138.0,139.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,139.0,140.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,140.0,141.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,141.0,142.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,142.0,143.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,143.0,144.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,144.0,145.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,145.0,146.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,146.0,147.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,147.0,148.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,148.0,149.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,149.0,150.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,150.0,151.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,151.0,152.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,152.0,153.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,153.0,154.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,154.0,155.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,155.0,156.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,156.0,157.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,157.0,158.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,158.0,159.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,159.0,160.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,160.0,161.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,161.0,162.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,162.0,163.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,163.0,164.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,164.0,165.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,165.0,166.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,166.0,167.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,167.0,168.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,168.0,169.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,169.0,170.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,170.0,171.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,171.0,172.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,172.0,173.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,173.0,174.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,174.0,175.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,175.0,176.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,176.0,177.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,177.0,178.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,178.0,179.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,179.0,180.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,180.0,181.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,181.0,182.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,182.0,183.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,183.0,184.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,184.0,185.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,185.0,186.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,186.0,187.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,187.0,188.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,188.0,189.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,189.0,190.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,190.0,191.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993860,191.0,192.0,Shcc,Carbonaceous shale,mudstone,101,mudstone,clastic,sedimentary rock
141,993861,36.0,37.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,37.0,38.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,38.0,39.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,39.0,40.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,40.0,41.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,41.0,42.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,42.0,43.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,43.0,44.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,44.0,45.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,45.0,46.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,46.0,47.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,47.0,48.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,48.0,49.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,49.0,50.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,50.0,51.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,51.0,52.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,52.0,53.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,53.0,54.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993861,54.0,55.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
