Company_ID,CollarID,Fromdepth,Todepth,Attribute_column,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Unnamed: 9,detailed_lithology,lithology_subgroup,lithology_group
369,123597,52.0,53.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
369,123597,53.0,54.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,54.0,55.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,55.0,56.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,56.0,57.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
369,123597,57.0,58.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,58.0,59.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,59.0,60.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,60.0,61.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,61.0,62.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,62.0,63.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,63.0,64.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,64.0,65.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
369,123597,65.0,66.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,123597,66.0,67.0,Lith1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,24.0,25.0,Lith1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124928,26.0,27.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,27.0,28.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,29.0,30.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,31.0,32.0,Lith1,OOO,Unknown,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
2705,124928,32.0,33.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2705,124928,34.0,35.0,Lith1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
