CollarID,Depth,Azimuth,Dip
1233098,180.0,0.0,-90.0
1233098,200.0,0.0,-90.0
1233098,220.0,0.0,-90.0
1233098,240.0,0.0,-90.0
1233098,260.0,0.0,-90.0
1233098,280.0,0.0,-90.0
1233098,300.0,0.0,-90.0
1233098,320.0,0.0,-90.0
1233098,340.0,0.0,-90.0
1233098,360.0,0.0,-90.0
1233098,380.0,0.0,-90.0
1233098,400.0,0.0,-90.0
1233098,420.0,0.0,-90.0
1233098,440.0,0.0,-90.0
1233098,460.0,0.0,-90.0
1233098,480.0,0.0,-90.0
1233098,500.0,0.0,-90.0
1233098,520.0,0.0,-90.0
1233098,540.0,0.0,-90.0
1233098,560.0,0.0,-90.0
1233099,0.0,91.3,-59.91
1233099,20.0,93.0,-90.0
1233099,40.0,95.8,-90.0
1233099,60.0,96.6,-90.0
1233099,80.0,95.7,-90.0
1233099,100.0,94.1,-90.0
1233099,120.0,92.2,-90.0
1233099,140.0,90.3,-90.0
1233099,160.0,88.1,-90.0
1233099,180.0,86.3,-90.0
1233099,200.0,83.7,-90.0
1233099,220.0,81.9,-90.0
1233099,240.0,80.0,-90.0
1233099,260.0,79.3,-90.0
1233099,280.0,74.0,-90.0
1233099,300.0,68.9,-90.0
1233099,320.0,68.5,-90.0
1233099,340.0,70.4,-90.0
1233099,360.0,71.4,-90.0
1233099,380.0,72.3,-90.0
1233099,400.0,73.3,-90.0
1233099,420.0,75.2,-90.0
1233099,440.0,76.4,-90.0
1233099,460.0,76.2,-90.0
1233099,480.0,77.8,-90.0
1233099,500.0,78.9,-90.0
1233099,520.0,80.9,-90.0
1233099,540.0,81.6,-90.0
1233099,560.0,83.0,-90.0
1233099,580.0,84.1,-90.0
1233099,600.0,84.9,-90.0
1233099,620.0,85.3,-90.0
1233100,0.0,179.8,-74.72
1233100,20.0,182.6,-90.0
1233100,40.0,185.1,-90.0
1233100,60.0,188.7,-90.0
1233100,80.0,189.5,-90.0
1233100,100.0,190.6,-90.0
1233100,120.0,191.4,-90.0
1233100,160.0,192.8,-90.0
1233100,180.0,195.2,-90.0
1233100,190.0,193.2,-90.0
1233101,0.0,179.0,-73.87
1233101,20.0,179.1,-90.0
1233101,40.0,179.3,-90.0
1233101,60.0,181.7,-90.0
1233101,80.0,180.9,-90.0
1233101,100.0,180.3,-90.0
1233101,120.0,179.9,-90.0
