,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,Score,Level 2,Level 1,CET_Litho
118,1621,1233212,202,203,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
119,1621,1233213,86,87,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
120,1621,1233216,487,494.3,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
121,1621,1233220,239,240,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
122,1621,1233290,33,34,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
123,1621,1233290,62,64,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
124,1621,1233213,92,94,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
125,1621,1233208,392,396.88,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
126,1621,1233223,125,140,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
127,1621,1233261,95,108,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
128,1621,1233261,95,108,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
129,1621,1233267,73,120,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
130,1621,1233215,78,80,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
131,1621,1233223,103,115,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
132,1621,1233096,33,42,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
133,1621,1233222,434,438.48,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
134,1621,1233154,92,180,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
135,1621,1233121,26,52,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
136,1621,1233222,477,479.8,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
137,1621,1233223,94,95,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
138,1621,1233222,182,206,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
139,1621,1233261,78,81,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
140,1621,1233098,76,114,SIF,Banded iron formation,71,unclassified rock,unclassified_rock,Other
141,1621,1233219,52,55,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
142,1621,1233207,70,73,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
143,1621,1233211,314,328,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
144,1621,1233172,28,30,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
145,1621,1233229,97,112.4,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
146,1621,1233217,74,76,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
147,1621,1233228,45,71.5,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
148,1621,1233224,34,45,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
149,1621,1233214,248,249,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
150,1621,1233211,106,108,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
151,1621,1233098,361,366.76,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
152,1621,1233231,120,121.9,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
153,1621,1233231,120,121.9,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
154,1621,1233217,64,67,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
155,1621,1233219,24,30,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
156,1621,1233207,4,5,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
157,1621,1233216,536,545.98,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
158,1621,1233262,1,6,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
159,1621,1233221,91,93,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
160,1621,1233211,37,38,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
161,1621,1233179,68,94,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
162,1621,1233299,86,90,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
163,1621,1233211,7,10,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
164,1621,1233098,0,5,SIF,Banded iron formation,71,unclassified rock,unclassified_rock,Other
165,1621,1233135,80,84,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
166,1621,1233109,16,18,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
167,1621,1233219,14,19,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
168,1621,1233300,14,19,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
169,1621,1233222,133,150,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
170,1621,1233212,376,387.13,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
171,1621,1233211,221,222,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
172,1621,1233106,58,67,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
173,1621,1233107,30,33,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
174,1621,1233211,92,93,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
175,1621,1233236,152,154.16,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
176,1621,1233218,339,343.15,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
177,1621,1233223,76,77,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
178,1621,1233116,101,104,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
179,1621,1233223,375,377.08,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
180,1621,1233223,375,377.08,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
181,1621,1233224,275,278.13,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
182,1621,1233221,117,139,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
183,1621,1233215,80,85,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
184,1621,1233153,28,41,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
185,1621,1233222,232,242,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
186,1621,1233223,371,373.13,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
187,1621,1233301,35,38,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
188,1621,1233301,35,38,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
189,1621,1233139,131,136,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
190,1621,1233210,183,184,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
191,1621,1233207,83,89,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
192,1621,1233213,94,95,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
193,1621,1233137,0,5,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
194,1621,1233236,148,149.88,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
195,1621,1233266,47,48,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
196,1621,1233106,78,87,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
197,1621,1233266,28,45,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
198,1621,1233211,263,281,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
199,1621,1233130,21,23,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
200,1621,1233130,21,23,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
201,1621,1233231,207,209.1,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
202,1621,1233142,144,148,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
203,1621,1233212,63,64,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
204,1621,1233217,57,58,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
205,1621,1233214,12,28,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
206,1621,1233267,123,126,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
207,1621,1233138,45,154,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
208,1621,1233101,165,166,SIF,Banded iron formation,71,unclassified rock,unclassified_rock,Other
209,1621,1233141,0,6,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
210,1621,1233210,9,14,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
211,1621,1233135,10,23,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
212,1621,1233218,2,8,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
213,1621,1233211,4,7,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
214,1621,1233214,297,306.2,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
215,1621,1233134,58,72,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
216,1621,1233211,35,36,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
217,1621,1233179,94,99,U,Ultramafic rocks - undivided,80,unclassified rock,unclassified_rock,Other
218,1621,1233179,94,99,U,ultramafic rocks undivided,80,unclassified rock,unclassified_rock,Other
219,1621,1233104,27,29,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
220,1621,1233214,31,34,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
221,1621,1233225,167,173.1,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
222,1621,1233212,405,407.7,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
223,1621,1233280,78,80,NSR,no sample return,64,unclassified rock,unclassified_rock,Other
224,1621,1233258,66,78,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
225,1621,1233222,261,267,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
226,1621,1233222,177,182,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
227,1621,1233221,108,109,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
228,1621,1233212,56,59,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
229,1621,1233217,180,181,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
230,1621,1233214,34,43,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
231,1621,1233214,44,51,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
232,1621,1233234,75,75.34,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
233,1621,1233234,75,75.34,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
234,1621,1233211,226,252,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
235,1621,1233290,46,53,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
236,1621,1233211,109,118,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
237,1621,1233211,38,40,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
238,1621,1233296,75,80,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
239,1621,1233208,397,398.34,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
240,1621,1233212,191,198,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
241,1621,1233213,197,200,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
242,1621,1233269,98,114,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
243,1621,1233224,525,555.43,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
244,1621,1233212,396,398.07,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
245,1621,1233264,22,46,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
246,1621,1233264,22,46,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
247,1621,1233217,193,195,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
248,1621,1233211,3,4,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
249,1621,1233224,65,73,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
250,1621,1233224,295,297.05,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
251,1621,1233222,248,251,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
252,1621,1233219,34,46,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
253,1621,1233214,265,266.8,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
254,1621,1233221,93,96,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
255,1621,1233152,13,38,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
256,1621,1233210,30,32,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
257,1621,1233210,1,9,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
258,1621,1233218,8,12,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
259,1621,1233223,116,123,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
260,1621,1233216,130,139,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
261,1621,1233227,114,123.7,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
262,1621,1233210,140,141,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
263,1621,1233222,256,258,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
264,1621,1233207,3,4,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
265,1621,1233208,398,399.5,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
266,1621,1233266,19,23,S,sedimentary rocks undivided,70,unclassified rock,unclassified_rock,Other
267,1621,1233266,19,23,S,Sedimentary rocks - undivided,70,unclassified rock,unclassified_rock,Other
268,1621,1233130,18,20,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
269,1621,1233144,108,111,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
270,1621,1233221,109,115,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
271,1621,1233218,46,50,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
272,1621,1233222,442,443.3,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
