id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
516,Picrobasalt ,picrobasalt,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
517,Agglomerate Pyroclastic_breccia ,agglomerate,volcaniclastic,igneous_rock,1,,,,,
518,Bomb_tephra ,bomb_tephra,volcaniclastic,igneous_rock,1,,,,,
519,Welded_tuff ,welded_tuff,volcaniclastic,igneous_rock,1,,,,,
520,Burned_rock ,burned_rock,contact_metamorphic,metamorphic_rock,1,,,,,
521,Beerbachite ,beerbachite,granofels,metamorphic_rock,1,,,,,
522,Argillisite ,argillisite,metasomatic,metamorphic_rock,1,,,,,
523,Orthoschist ,orthoschist,schist,metamorphic_rock,1,,,,,
524,Arsenic_ore ,arsenic_ore,ore,mineralisation,1,,,,,
525,Bismuth_ore ,bismuth_ore,ore,mineralisation,1,,,,,
526,Cadmium_ore ,cadmium_ore,ore,mineralisation,1,,,,,
527,Caesium_ore ,caesium_ore,ore,mineralisation,1,,,,,
528,Lithium_ore ,lithium_ore,ore,mineralisation,1,,,,,
529,Mercury_ore ,mercury_ore,ore,mineralisation,1,,,,,
530,Sulphide_ore Sulfide_ore ,sulphide_ore,ore,mineralisation,1,,,,,
531,Gypsum_Sand ,gypsum_sand,sediment_evaporite,sediment,1,,,,,
532,Iron_gravel Goethite_gravel Siderite_gravel Limonite_gravel Hematite_gravel ,iron_gravel,sediment_iron,sediment,1,,,,,
533,Illite_Clay ,illite_clay,sediment_silicate,sediment,1,,,,,
534,Calcarenite ,calcarenite,carbonate,sedimentary_rock,1,,,,,
535,Calcilutite ,calcilutite,carbonate,sedimentary_rock,1,,,,,
536,Calcirudite ,calcirudite,carbonate,sedimentary_rock,1,,,,,
537,Dolomicrite ,dolomicrite,carbonate,sedimentary_rock,1,,,,,
538,Dolosparite ,dolosparite,carbonate,sedimentary_rock,1,,,,,
539,Grainstones ,grainstones,carbonate,sedimentary_rock,1,,,,,
540,Borax_stone ,borax_stone,evaporite,sedimentary_rock,1,,,,,
541,Impure_coal Bone_coal ,impure_coal,organic_rich,sedimentary_rock,1,,,,,
542,Lamalginite ,lamalginite,organic_rich,sedimentary_rock,1,,,,,
543,Sapropelite Telaginite Lamalginite ,sapropelite,organic_rich,sedimentary_rock,1,,,,,
544,Radiolarite ,radiolarite,siliceous,sedimentary_rock,1,,,,,
545,Furnace_Ash ,furnace_ash,artificial_man_made_ground,surficial_rock,1,,,,,
546,Made_Ground ,made_ground,artificial_man_made_ground,surficial_rock,1,,,,,
547,Shale_Waste ,shale_waste,artificial_man_made_ground,surficial_rock,1,,,,,
548,Slate_Waste ,slate_waste,artificial_man_made_ground,surficial_rock,1,,,,,
549,Toxic_Waste ,toxic_waste,artificial_man_made_ground,surficial_rock,1,,,,,
550,Tidal_River ,tidal_river,coastal_deposit,surficial_rock,1,,,,,
551,Mobile_Dune ,mobile_dune,natural_superficial_ground,surficial_rock,1,,,,,
552,Stable_Dune ,stable_dune,natural_superficial_ground,surficial_rock,1,,,,,
553,Yellow_Dune ,yellow_dune,natural_superficial_ground,surficial_rock,1,,,,,
554,Shear_Bands ,shear_bands,breaks,texture_structure,1,,,,,
555,Fault_gouge Fault_Gouges Fault_Gouge ,fault_gouge,fault_rock,texture_structure,1,,,,,
556,Glassy_Rock ,glassy_rock,glassy_rock,unclassified_rock,1,,,,,
557,Chromitite ,chromitite,exotic_crystalline,igneous_rock,1,,,,,
558,Diatectite ,diatectite,exotic_crystalline,igneous_rock,1,,,,,
559,Epidiorite ,epidiorite,exotic_crystalline,igneous_rock,1,,,,,
560,Ilmenitite ,ilmenitite,exotic_crystalline,igneous_rock,1,,,,,
561,Kimberlite Orangeite ,kimberlite,exotic_crystalline,igneous_rock,1,,,,,
562,Spinellite ,spinellite,exotic_crystalline,igneous_rock,1,,,,,
563,Adamellite ,adamellite,felsic_coarse_grained_crystalline,igneous_rock,1,,,,,
564,Meimechite ,meimechite,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
565,Pitchstone ,pitchstone,felsic_glassy,igneous_rock,1,,,,,
566,Andesitoid Andesitic_Rock ,andesitoid,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
567,Rhyodacite ,rhyodacite,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
568,Troctolite ,troctolite,mafic_coarse_grained_crystalline,igneous_rock,1,,,,,
569,Blueschist ,blueschist,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
570,Eclogitoid ,eclogitoid,high_grade_metamorphic_rock,metamorphic_rock,1,,,,,
571,Greenstone ,greenstone,low_grade_metamorphic_rock,metamorphic_rock,1.01,,,,,
572,Charoitite ,charoitite,metasomatic,metamorphic_rock,1,,,,,
573,Listvenite ,listvenite,metasomatic,metamorphic_rock,1,,,,,
574,Paraschist ,paraschist,schist,metamorphic_rock,1,,,,,
575,Cobalt_ore ,cobalt_ore,ore,mineralisation,1,,,,,
576,Copper_ore ,copper_ore,ore,mineralisation,1,,,,,
577,Nickel_ore ,nickel_ore,ore,mineralisation,1,,,,,
578,Silver_ore ,silver_ore,ore,mineralisation,1,,,,,
579,Coorongite ,coorongite,sediment_organic,sediment,1,,,,,
580,Gaylussite ,gaylussite,carbonate,sedimentary_rock,1,,,,,
581,Microstone ,microstone,carbonate,sedimentary_rock,1,,,,,
582,Turbidites ,turbidites,clastic,sedimentary_rock,1,,,,,
583,Lithomarge ,lithomarge,hydroxide,sedimentary_rock,1,,,,,
584,Asphaltite ,asphaltite,organic_rich,sedimentary_rock,1,,,,,
585,Muddy_Peat ,muddy_peat,organic_rich,sedimentary_rock,1,,,,,
586,Sandy_Peat ,sandy_peat,organic_rich,sedimentary_rock,1,,,,,
587,Wackestone ,wackestone,siliciclastic,sedimentary_rock,1,,,,,
588,Blown_sand Beach_dune_sand Coversand Niveo_aeolian_sand Beach_Dune_Sand Blown_Sand Coversand Coversands Niveoaeolian_Sand Niveo_Aeolian_Sand Older_Blown_Sand ,blown_sand,aeolian_deposit,surficial_rock,1,,,,,
589,China_Clay ,china_clay,artificial_man_made_ground,surficial_rock,1,,,,,
590,Clay_Waste ,clay_waste,artificial_man_made_ground,surficial_rock,1,,,,,
591,Coal_Shale ,coal_shale,artificial_man_made_ground,surficial_rock,1,,,,,
592,Mine_Dumps Stockpile ,mine_dumps,artificial_man_made_ground,surficial_rock,1,,,,,
593,Mine_Stone ,mine_stone,artificial_man_made_ground,surficial_rock,1,,,,,
594,Rock_Waste Tailing Tailings Mullock ,rock_waste,artificial_man_made_ground,surficial_rock,1,,,,,
595,Shell_marl Shell_Bank_Deposits Shell_Rich_Gyttja ,shell_marl,biological_deposit,surficial_rock,1,,,,,
596,Redox_Zone ,redox_zone,chemical_deposit,surficial_rock,1,,,,,
597,Beach_sand Beach_Dune_Sand ,beach_sand,coastal_deposit,surficial_rock,1,,,,,
598,Sand_Flats ,sand_flats,coastal_deposit,surficial_rock,1,,,,,
599,Tidal_Flat Tidal_flat_setting,tidal_flat,coastal_deposit,surficial_rock,1,,,,,
600,Beach_Dune Beach_Washover_Deposits ,beach_dune,natural_superficial_ground,surficial_rock,1,,,,,
