id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
73,Phyllite Phyllite ,phyllite,low_grade_metamorphic_rock,metamorphic_rock,1.01,"Rock with a well developed, continuous schistosity, an average grain size between 0.1 and 0.5 millimeters, and a silvery sheen on cleavage surfaces. Individual phyllosilicate grains are barely visible with the unaided eye.",IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/),http://resource.geosciml.org/classifier/cgi/lithology/0198,,
74,Sapropel Sapropel ,sapropel,sediment_organic,sediment,1,"Jelly like organic rich sediment composed of plant remains, usually algal. Liptinite to Inertinite ratio is greater than one (Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.)",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0230,,
75,Mud Silicate_mud Silt Silicate_silt Clay Silicate_clay Illite_clay Kaolinite_clay Smectite_clay Montmorillonite_clay Ooze Gravelly_mud Sandy_mud Clay Clays Ochre Pallid_Clay Pallid_Clays Bleached_Clays Bleached_Clay Lutite Lutites Mud Clay ,mud,sediment_clastic,sediment,1.01,Clastic sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. More than half of the particles are of epiclastic origin.,"definition of mud from SLTTs 2004 muddy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0170,,
76,Granite Metagranite Granite Charnockite ,granite,felsic_coarse_grained_crystalline,igneous_rock,1.01,"Phaneritic crystalline rock consisting of quartz, alkali feldspar and plagioclase (typically sodic) in variable amounts, usually with biotite and/or hornblende. Includes rocks defined modally in QAPF Field 3.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0125,,
77,Picrite High_Magnesium_Fine_Grained_Igneous_Rocks Picrite Boninite ,picrite,felsic_fine_grained_crystalline,igneous_rock,1,"fine-grained igneous rock that contains unusually high concentration of MgO. For rocks that contain greater than 52 percent silica, MgO must be greater than 8 percent. For rocks containing less than 52 percent silica, MgO must be greater than 12 percent.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0132,,
78,Diorite Metadiorite Diorite_Porphyry Microdiorite Intermediate_Intrusive_Diorite Diorite ,diorite,intermediate_coarse_grained_crystalline,igneous_rock,1.01,"Phaneritic crystalline rock consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite; colour index M less than 90,  sodic plagioclase (An0-An50), no feldspathoid, and between 0 and 5 percent quartz. Includes rocks defined modally in QAPF field 10 as diorite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0071,,
79,Syenite Lucitite Syenite Syenitic_Rock ,syenite,intermediate_coarse_grained_crystalline,igneous_rock,1.01,Syenitic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction. Defined modally in QAPF Field 7.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0245,,
80,Spilite Spilite Meta_Andesite Metabasalt ,spilite,low_grade_metamorphic_rock,metamorphic_rock,1,"Altered basic to intermediate composition fine-grained igneous rock in which the feldspar is partially or completely composed of of albite, typically accompanied by chlorite, calcite, quartz, epidote, prehnite, and low-tempaerature hydrous crystallization products. Preservation of eruptive volcanic features is typical.","Fettes and Desmon, 2007; Best, M.G., 1982, Igneous and metamorphic petrology: New York, W.H. Freeman and company, p. 398; Neuendorf et al. 2005, p. 619.",http://resource.geosciml.org/classifier/cgi/lithology/0244,,
81,Lignite Brown_lignite Black_lignite Lignite Brown_Coal Metalignite Ortholignite Sub_Bituminous_Coal Low_Rank_Coal ,lignite,organic_rich,sedimentary_rock,1,"Coal that has a gross calorific value less than 24 MJ/kg (determined in conformance with ISO 1928), and vitrinite mean random reflectance less than 0.6% (determined in conformance with ISO 7404-5). Gross calorific value is recalculated to a moist, ash free basis using bed moisture (determined according to ISO 1015 or ISO 5068). Includes all low-rank coals, including sub-bitiminous coal. A consolidated, dull, soft brown to black coal having many readily discernible plant fragments set in a finer grained organic matrix. Tends to crack and fall apart on drying. Operationally sub-bituminous and bitiminous coal are qualitatively distinguished based on brown streak for sub-bitiminous coal and black streak for bituminous coal.","Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.",http://resource.geosciml.org/classifier/cgi/lithology/0155,,
82,Arenite Arenites Arenite ,arenite,siliciclastic,sedimentary_rock,1.01,"Clastic sandstone that contains less than 10 percent matrix. Matrix is  mud-size silicate minerals (clay, feldspar, quartz, rock fragments, and alteration products) of detrital or diagenetic nature.","Pettijohn, Potter, Siever, 1972, Sand and Sandstone: New York, Springer Verlag, 681 p.",http://resource.geosciml.org/classifier/cgi/lithology/0019,,
83,Breccia Breccia ,breccia,fault_rock,texture_structure,1.01,"Coarse-grained material composed of angular broken rock fragments; the fragments typically have sharp edges and unworn corners. The fragments may be held together by a mineral cement or in a fine-grained matrix, and consolidated or nonconsolidated. Clasts may be of any composition or origin. In sedimentary environments, breccia is used for material that consists entirely of angular fragments, mostly derived from a single source rock body, as in a rock avalanche deposit, and matrix is interpreted to be the product of comminution of clasts during transport. Diamictite or diamicton is used when the material reflects mixing of rock from a variety of sources, some sub angular or subrounded clasts may be present, and matrix is pre-existing fine grained material that is not a direct product of the brecciation/deposition process.",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0035,,
84,Aplite Aplite ,aplite,felsic_fine_grained_crystalline,igneous_rock,1,"Light coloured crystalline rock, characterized by a fine grained allotriomorphic-granular (aplitic, saccharoidal or xenomorphic) texture; typically granitic composition, consisting of quartz, alkali feldspar and sodic plagioclase.",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0018,,
85,Latite Latite Latitic_Rock ,latite,intermediate_fine_grained_crystalline,igneous_rock,1,Latitic rock that contains between 0 and 5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 8.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0153,,
86,Gneiss Gneiss ,gneiss,gneiss,metamorphic_rock,1.01,"Foliated metamorphic rock with bands or lenticles rich in granular minerals alternating with bands or lenticles rich in minerals with a flaky or elongate prismatic habit. Mylonitic foliation or well developed, continuous schistosity (greater than 50 percent of the rock consists of grains participate in a planar or linear fabric) precludes classification with this concept.",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0123,,
87,Marble Pure_marble Impure_marble Brucite_marble Marble ,marble,metacarbonate,metamorphic_rock,1,"Metamorphic rock consisting of greater than 75 percent fine- to coarse-grained recrystallized calcite and/or dolomite; usually with a granoblastic, saccharoidal texture.","IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/), SLTTm1.0 2004",http://resource.geosciml.org/classifier/cgi/lithology/0157,,
88,Schist Mica_schist Schist Mica_Schist ,schist,schist,metamorphic_rock,1.01,"Foliated phaneritic metamorphic rock with well developed, continuous schistosity, meaning that greater than 50 percent of the rock by volume is mineral grains with a thin tabular, lamellar, or acicular prismatic crystallographic habit that are oriented in a continuous planar or linear fabric.",SLTTm 2004; Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0231,,
89,Slate Slate ,slate,low_grade_metamorphic_rock,metamorphic_rock,1,"compact, fine grained rock with an average grain size less than 0.032 millimeter and a well developed schistosity (slaty cleavage), and hence can be split into slabs or thin plates.",NADM metamorphic rock vocabulary SLTTm1.0; Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0243,,
90,Skarn Magnesian_skarn Serpentine_skarn Chondrodite_skarn Manganesian_skarn Calc_skarn Skarn Exoskarn Tactite ,skarn,metasomatic,metamorphic_rock,1,"Metasomatic rock consisting mainly of Ca-, Mg-, Fe-, or Mn-silicate minerals, which are free from or poor in water. Typically formed at the contact between a silicate rock or magma and a carbonate rock.","Fettes and Desmons, 2007, p195",http://resource.geosciml.org/classifier/cgi/lithology/0242,,
91,Chalk Chalk ,chalk,carbonate,sedimentary_rock,1,"A generally soft, white, very fine-grained, extremely pure, porous limestone. It forms under marine conditions from the gradual accumulation of skeletal elements from minute planktonic green algae (cocoliths), associated with varying proportions of larger microscopic fragments of bivalves, foraminifera and ostracods. It is common to find flint and chert nodules embedded in chalk.","http://en.wikipedia.org/wiki/Chalk; C.S. Harris, 2009, unpublished web page, http://www.geologyshop.co.uk/chalk.htm",http://resource.geosciml.org/classifier/cgi/lithology/0051,,
92,Peat Muddy_peat Sandy_peat Peat ,peat,sediment_organic,sediment,1,"Unconsolidated organic-rich sediment composed of at least 50 percent semi-carbonised plant remains; individual remains commonly seen with unaided eye; yellowish brown to brownish black; generally fibrous texture; can be plastic or friable. In its natural state it can be readily cut and has a very high moisture content, generally greater than 90 percent. Liptinite to Inertinite ratio is less than one (Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.)",Hallsworth and Knox 1999,http://resource.geosciml.org/classifier/cgi/lithology/0185,,
93,Coal Coal ,coal,organic_rich,sedimentary_rock,1.01,"A consolidated organic sedimentary material having less than 75% moisture. This category includes low, medium, and high rank coals according to International Classification of In-Seam Coal (United Nations, 1998), thus including lignite. Sapropelic coal is not distinguished in this category from humic coals. Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.","Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.",http://resource.geosciml.org/classifier/cgi/lithology/0062,,
94,Foid_bearing_alkali_feldspar_trachyte Foid_Bearing_Alkali_Feldspar_Trachyte ,foid_bearing_alkali_feldspar_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,Alkali feldspar trachytic rock that contains no quartz and between 0 and 10 percent feldspathoid mineral in the QAPF fraction. QAPF field 6'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0088,,
95,Foid_bearing_alkali_feldspar_syenite Cancrinite_bearing_alkali_feldspar_syenite Nepheline_bearing_alkali_feldspar_syenite Sodalite_bearing_alkali_feldspar_syenite Foid_Bearing_Alkali_Feldspar_Syenite ,foid_bearing_alkali_feldspar_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Alkali feldspar syenitic rock that contains 0-10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 6'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0087,,
96,Foid_bearing_monzodiorite Cancrinte_bearing_monzodiorite Nepheline_bearing_monzodiorite Sodalite_bearing_monzodiorite Foid_Bearing_Monzodiorite ,foid_bearing_monzodiorite,intermediate_coarse_grained_crystalline,igneous_rock,1,Monzodioritic rock that contains between 0 and 10 percent feldspathoid mineral.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0093,,
97,Foid_bearing_anorthosite Cancrinite_bearing_anorthosite Nepheline_bearing_anorthosite Sodalite_bearing_anorthosite Foid_Bearing_Anorthosite ,foid_bearing_anorthosite,mafic_coarse_grained_crystalline,igneous_rock,1,Anorthositic rock that contains between 0 and 10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 10'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0089,,
98,Foid_bearing_monzogabbro Cancrinite_bearing_monzogabbro Nepheline_bearing_monzogabbro Sodalite_bearing_monzogabbro Foid_Bearing_Monzogabbro ,foid_bearing_monzogabbro,mafic_coarse_grained_crystalline,igneous_rock,1,Monzogabbroic rock that contains 0 to 10 percent feldspathoid mineral in the QAPF fraction. QAPF field 9'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0094,,
99,Foid_bearing_monzonite Cancrinite_bearing_monzonite Nepheline_bearing_monzodiorite Sodalite_bearing_monzodiorite Foid_Bearing_Monzonite ,foid_bearing_monzonite,intermediate_coarse_grained_crystalline,igneous_rock,1,Monzonitic rock that contains 0-10 percent feldspathoid mineral and no quartz in the QAPF fraction. Includes rocks defined modally in QAPF Field 8'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0095,,
100,Foid_bearing_trachyte Foid_Bearing_Trachyte ,foid_bearing_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,"Trachytic rock that contains between 0 and 10 percent feldspathoid in the QAPF fraction, and no quartz. QAPF field 7'.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0097,,
101,Foid_bearing_diorite Cancrinite_bearing_diorite Nepheline_bearing_diorite Sodalite_bearing_diorite Foid_Diorite Foid_Bearing_Diorite ,foid_bearing_diorite,intermediate_coarse_grained_crystalline,igneous_rock,1,Dioritic rock that contains between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 10'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0090,,
102,Foid_bearing_syenite Cancrinite_bearing_syenite Nepheline_bearing_syenite Sodalite_bearing_syenite Foid_Bearing_Syenite ,foid_bearing_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Syenitic rock that contains between 0 and 10 percent feldspathoid mineral and no quartz in the QAPF fraction. Defined modally in QAPF Field 7'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0096,,
103,Foid_bearing_latite Foid_Bearing_Latite ,foid_bearing_latite,intermediate_fine_grained_crystalline,igneous_rock,1,Latitic rock that contains no quartz and between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 8'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0092,,
104,Foid_bearing_gabbro Cancrinite_bearing_gabbro Nepheline_bearing_gabbro Sodalite_bearing_gabbro Foid_Bearing_Gabbro ,foid_bearing_gabbro,mafic_coarse_grained_crystalline,igneous_rock,1,Gabbroic rock that contains 0-10 percent feldspathoid minerals and no quartz in the QAPF fraction. QAPF field 10'.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0091,,
105,Phonolitic_foidite Phonolitic_leucitite Phonolitic_hau?ynite Phonolitic_Foidite ,phonolitic_foidite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a  plagioclase to total feldspar ratio that is less than 0.5",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0192,,
106,Foid_monzodiorite Sodalite_monzodiorite Nepheline_monzodiorite Cancrinite_monzodiorite Analcime_monzodiorite Foid_Monzodiorite Essexite ,foid_monzodiorite,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid dioritoid in which the plagioclase to total feldspar ratio is between 0.1 and 0.9.  Includes rocks defined modally in QAPF field 13.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0102,,
107,Foid_monzosyenite Sodalite_monzosyenite Nepheline_monzosyenite Cancrinite_monzosyenite Analcime_monzosyenite Leucite_monzosyenite Cancrinite_syenitic_rock Nepheline_syenitic_rock Sodalite_syenitic_rock Foid_Monzosyenite ,foid_monzosyenite,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid syenitoid rock that has a plagioclase to total feldspar ratio of between 0.1 and 0.5.  Includes rocks defined modally in QAPF Field 12.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0104,,
108,Tephritic_foidite Tephritic_leucitite Tephritic_Foidite ,tephritic_foidite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a  plagioclase to total feldspar ratio that is greater than 0.5, with less than 10 percent normative olivine",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0251,,
109,Basanitic_foidite Basanitic_leucitite Basanitic_analcimite Basanitic_nephelinite Basanitic_hau?ynite Basanitic_Foidite ,basanitic_foidite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a  plagioclase to total feldspar ratio that is greater than 0.5, with greater than 10 percent normative olivine.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0025,,
110,Foid_monzogabbro Sodalite_monzogabbro Nepheline_monzogabbro Cancrinite_monzogabbro Analcime_monzogabbro Foid_Monzogabbro Essexite ,foid_monzogabbro,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid gabbroid that has a plagioclase to total feldspar ratio between 0.5 and 0.9. Includes rocks defined modally in QAPF field 13.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0103,,
111,Foid_dioritoid Foid_Dioritic_Rock Foid_Dioritoid ,foid_dioritoid,feldspathic_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline igneous rock in which M is less than 90, the plagioclase to total feldspar ratio is greater than 0.5,  feldspathoid minerals form 10-60 percent of the QAPF fraction,  plagioclase has anorthite content less than 50 percent. These rocks typically contain large amounts of mafic minerals. Includes rocks defined modally in QAPF fields 13 and 14.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0099,,
112,Foid_syenitoid Foid_Syenitic_Rock Foid_Syenitoid ,foid_syenitoid,feldspathic_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline igneous rock with M less than 90, contains between 10 and 60 percent feldspathoid mineral in the QAPF fraction, and has a plagioclase to total feldspar ratio less than 0.5. Includes QAPF fields 11 and 12.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0106,,
113,Foid_gabbroid Foid_Gabbroic_Rock Foid_Gabbroid ,foid_gabbroid,feldspathic_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline igneous rock in which M is less than 90, the plagioclase to total feldspar ratio is greater than 0.5,  feldspathoids form 10-60 percent of the QAPF fraction, and plagioclase has anorthite content greater than 50 percent. These rocks typically contain large amounts of mafic minerals. Includes rocks defined modally in QAPF fields 13 and 14.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0101,,
114,Foid_diorite Sodalite_diorite Nepheline_diorite Cancrinite_diorite Analcime_diorite Foid_Diorite ,foid_diorite,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid dioritoid in which the plagioclase to total feldspar ratio is greater than 0.9.  Includes rocks defined modally in QAPF field 14.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0098,,
115,Foid_syenite Sodalite_syenite Nepheline_syenite Cancrinite_syenite Analcime_syenite Shonkinite Foid_Syenite ,foid_syenite,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid syenitoid that has a plagioclase to total feldspar ratio of less than 0.1. Includes rocks defined modally in QAPF field 11.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0105,,
116,Foid_gabbro Nepheline_gabbro Sodalite_gabbro Foid_Gabbro Theralite Analcime_Gabbro Teschenite Nepheline_Gabbro ,foid_gabbro,feldspathic_coarse_grained_crystalline,igneous_rock,1,Foid gabbroid that has a plagioclase to total feldspar ratio greater than 0.9. Includes rocks defined modally in QAPF field 14.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0100,,
117,Foidolite Sodalitolite Nephelinolite Ijolite Noseanolite Leucitolite Fergusite Foidolitic_Rock Foidolite Nephelinolite Ijolite Urtite Melteigite ,foidolite,feldspathic_coarse_grained_crystalline,igneous_rock,1,Phaneritic crystalline rock containing more than 60 percent feldspathoid minerals in the QAPF fraction. Includes rocks defined modally in QAPF field 15,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0109,,
118,Foiditoid Foiditic_Rock Foiditoid Foiditic_Rock Foidite_(Sensu_Lato) ,foiditoid,feldspathic_fine_grained_crystalline,igneous_rock,1,Fine grained crystalline rock containing less than 90 percent mafic minerals and more than 60 percent feldspathoid minerals in the QAPF fraction. Includes rocks defined modally in QAPF field 15 or chemically in TAS field F.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0108,,
119,Foidite Leucitite Analcimite Nephelinite Sodalitite Hau?ynite Noseanite Foidite ,foidite,feldspathic_fine_grained_crystalline,igneous_rock,1,Foiditoid that contains greater than 90 percent feldspathoid minerals in the QAPF fraction.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0107,,
120,Felsic Felsic_Rock Undifferentiated_Felsic Acid Acidic Felsic_Intrusive Felsic_Lava Felsic_Volcanic Meta_felsic Felsic_Dyke Acidic_Igneous_Rock Siliceous_Igneous_Rock Felsic_Dike,felsic,felsic,igneous_rock,1.01,Igneous rock with more than 63 percent SiO2.,after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0002,,
121,Granitoid Alkali_feldspar_granitoid Granitoid Granitic_Rock ,granitoid,felsic_coarse_grained_crystalline,igneous_rock,1.01,"Phaneritic crystalline igneous rock consisting of quartz, alkali feldspar and/or plagioclase. Includes rocks defined modally in QAPF fields 2, 3, 4 and 5 as alkali feldspar granite, granite, granodiorite or tonalite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0126,,
122,Dacite Dacite Rhyodacite ,dacite,intermediate_fine_grained_crystalline,igneous_rock,1.01,"Fine grained or porphyritic crystalline rock that contains less than 90 percent mafic minerals,  between 20 and 60 percent quartz in the QAPF fraction, and has a plagioclase to total feldspar ratio greater than 0.65.  Includes rocks defined modally in QAPF fields 4 and 5 or chemically in TAS Field O3. Typcially composed of quartz and sodic plagioclase with minor amounts of biotite and/or hornblende and/or pyroxene; fine-grained equivalent of granodiorite and tonalite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0068,,
123,Basaltic_andesite Boninite Boninite ,basaltic_andesite,intermediate_fine_grained_crystalline,igneous_rock,1,"andesitic rock that contains more than 8 percent MgO. Typically consists of phenocrysts of protoenstatite, orthopyroxene, clinopyroxene, and olivine in a glassy base full of crystallites, and exhibits textures characterisitc of rapid crystal growth.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0032,,
124,Gravel Silicate_gravel Boulders Cobbles Pebbles Granules Muddy_gravel Muddy_sandy_gravel Sandy_gravel Gravel Boulder_Gravel_Size_Sediment Cobble_Gravel_Size_Sediment ,gravel,sediment_clastic,sediment,1,Clastic sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Gravel in which more than half of the particles are of epiclastic origin,"definition of gravel from SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0130,,
125,Sand Silicate_sand Very_coarse_sand Coarse_sand Medium_sand Fine_sand Very_fine_sand Gravelly_muddy_sand Gravelly_sand Muddy_sand Sand ,sand,sediment_clastic,sediment,1,Clastic sediment in which less than 30 percent of particles are gravel (greater than 2 mm in diameter) and the sand to mud ratio is at least 1. More than half of the particles are of epiclastic origin.,"definition of sand from SLTTs 2004 sandy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0228,,
126,Mudstone Silicate_mudstone Shale Black_shale Claystone Silicate_claystone Illite_claystone Kaolinite_claystone Siltstone Silicate_siltstone Diamictite Silicate_diamictite Smectite_Claystone Metamudstone Argillite Pelite Semipelite Semi_pelite Shale Varvite Claystone Shale ,mudstone,clastic,sedimentary_rock,1.01,"Mudstone that contains no detectable silt, inferred to consist virtually entirely of clay-size particles.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0061,,
127,Cataclasite Protocataclasite Cohesive_protocataclasite Incohesive_protocataclasite Ultracataclasite Mesocataclasite Cohesive_ultracataclasite Incohesive_ultracataclasite Cataclasite_Series ,cataclasite,fault_rock,texture_structure,1.01,"Fault-related rock that maintained primary cohesion during deformation, with matrix comprising greater than 10 percent of rock mass; matrix is fine-grained material formed through grain size reduction by fracture as opposed to crystal plastic process that operate in mylonitic rock.  Includes cataclasite, protocataclasite and ultracataclasite.","Sibson, 1977; Scholz, 1990; Snoke and Tullis, 1998; Barker, 1998 Appendix II; NADM SLTTm, 2004",http://resource.geosciml.org/classifier/cgi/lithology/0050,,
128,Duricrust Duricrusts Duricrust ,duricrust,residual_deposit,surficial_rock,1.01,"Rock forming a hard crust or layer at or near the Earth's surface at the time of formation, e.g. in the upper horizons of a soil, characterized by structures indicative of pedogenic origin.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0079,,
129,Dolomite_sediment Dolomite_gravel Dolomite_sand Dolomite_mud Ankerite_gravel Ankerite_sand Ankerite_mud Dolomitic_Sediment ,dolomite_sediment,sediment_carbonate,sediment,1,Carbonate sediment with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.,"after SLTTs 2004, Hallsworth and Knox 1999",http://resource.geosciml.org/classifier/cgi/lithology/0077,,
130,Mylonite Blastomylonite Mesomylonite Phyllonite Protomylonite Ultramylonite Augen_mylonite Cohesive_cataclasite Pseudotachylite Protomylonitic_Breccias Pseudotachylites Tectonite Tectonite_Breccia Tectonic_Breccia Mylonitic_Rock Mylonite Protomylonite Mesomylonite Blastomylonite Ultramylonite Phyllonite ,mylonite,fault_rock,texture_structure,1.01,"Metamorphic rock characterised by a foliation resulting from tectonic grain size reduction, in which more than 10 percent of the rock volume has undergone grain size reduction. Includes protomylonite, mylonite, ultramylonite, and blastomylonite.",Marshak and Mitra 1988,http://resource.geosciml.org/classifier/cgi/lithology/0172,,
131,Basalt Alkali_basalt Subalkali_basalt Metabasalt Tholeiite Basalt_Lava High_Mag_Basalt Komatiitic_Basalt High_Magnesium_Basalt Mafic_Extrusive Basalt Leuco_Basalt Picrite Mela_Andesite Picrobasalt Tholeiitic_Basalt ,basalt,mafic_fine_grained_crystalline,igneous_rock,1.01,"Fine-grained or porphyritic igneous rock with less than 20 percent quartz, and less than 10 percent feldspathoid minerals, in which the ratio of plagioclase to total feldspar is greater 0.65. Typically composed of calcic plagioclase and clinopyroxene; phenocrysts typically include one or more of calcic plagioclase, clinopyroxene, orthopyroxene, and olivine. Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field B as basalt. Basalt and andesite are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica.  If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight.",after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0023,,
132,Igneous_rock Igneous_Rock ,igneous_rock,igneous_rock,igneous_rock,1,"rock formed as a result of igneous processes, for example intrusion and cooling of magma in the crust, or volcanic eruption.",Neuendorf et al 2005,http://resource.geosciml.org/classifier/cgi/lithology/0138,,
133,Mafic Mafic_Rock Basic Basic_Igneous_Rock ,mafic,mafic,igneous_rock,1,Igneous rock with between 45 and 52 percent SiO2.,after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0027,,
134,Intermediate Intermediate_Rocks Intermediate_Rock Intermediate_Dyke Intermediate_Composition_Igneous_Rock Intermediate_Dike,intermediate,intermediate,igneous_rock,1.01,Igneous rock with between 52 and 63 percent SiO2.,after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0147,,
