"id","holeid","anumber","companyholeid","dataset","companyid","longitude","latitude","istransformed","modifieddate","modifiedby","mrtfileid","holetype","maxdepth","geom"
1233134,"82655KararaMKC461",82655,"MKC461","Karara",1621,"116.822","-29.1487",True,NULL,NULL,37125,"RC","126","0101000020E610000000000020A0345D400000006012263DC0"
1233135,"82655KararaMKC464",82655,"MKC464","Karara",1621,"116.783","-29.1715",True,NULL,NULL,37125,"RC","101","0101000020E61000000000002023325D4000000080E82B3DC0"
1233136,"82655KararaMKC465",82655,"MKC465","Karara",1621,"116.783","-29.1715",True,NULL,NULL,37125,"RC","186","0101000020E6100000000000E022325D40000000A0E72B3DC0"
1233137,"82655KararaMKC466",82655,"MKC466","Karara",1621,"116.784","-29.1718",True,NULL,NULL,37125,"RC","270","0101000020E61000000000004029325D40000000A0FD2B3DC0"
1233138,"82655KararaMKC467",82655,"MKC467","Karara",1621,"116.78","-29.174",True,NULL,NULL,37125,"RC","154","0101000020E610000000000020F3315D40000000008E2C3DC0"
1233139,"82655KararaMKC468",82655,"MKC468","Karara",1621,"116.782","-29.1728",True,NULL,NULL,37125,"RC","180","0101000020E6100000000000400C325D40000000A03D2C3DC0"
1233140,"82655KararaMKC469",82655,"MKC469","Karara",1621,"116.785","-29.17",True,NULL,NULL,37125,"RC","180","0101000020E61000000000000037325D4000000000822B3DC0"
1233141,"82655KararaMKC470",82655,"MKC470","Karara",1621,"116.788","-29.1677",True,NULL,NULL,37125,"RC","180","0101000020E6100000000000A06B325D4000000040F12A3DC0"
1233142,"82655KararaMKC471",82655,"MKC471","Karara",1621,"116.787","-29.1699",True,NULL,NULL,37125,"RC","170","0101000020E61000000000004065325D40000000607F2B3DC0"
1233143,"82655KararaMKC472",82655,"MKC472","Karara",1621,"116.787","-29.1718",True,NULL,NULL,37125,"RC","144","0101000020E6100000000000605A325D4000000020FB2B3DC0"
1233144,"82655KararaMKC473",82655,"MKC473","Karara",1621,"116.785","-29.1731",True,NULL,NULL,37125,"RC","168","0101000020E6100000000000C040325D40000000004E2C3DC0"
1233145,"82655KararaMKC474",82655,"MKC474","Karara",1621,"116.785","-29.175",True,NULL,NULL,37125,"RC","126","0101000020E61000000000006036325D40000000C0CF2C3DC0"
1233146,"82655KararaMKC475",82655,"MKC475","Karara",1621,"116.783","-29.1763",True,NULL,NULL,37125,"RC","164","0101000020E6100000000000E01E325D4000000020212D3DC0"
1233147,"82655KararaMKC476",82655,"MKC476","Karara",1621,"116.781","-29.1793",True,NULL,NULL,37125,"RC","132","0101000020E610000000000000F6315D4000000040E72D3DC0"
1233148,"82655KararaMKC477",82655,"MKC477","Karara",1621,"116.781","-29.1798",True,NULL,NULL,37125,"RC","168","0101000020E6100000000000A000325D40000000E0072E3DC0"
1233149,"82655KararaMKC478",82655,"MKC478","Karara",1621,"116.778","-29.1817",True,NULL,NULL,37125,"RC","166","0101000020E610000000000060C5315D4000000000862E3DC0"
1233150,"82655KararaMKC479",82655,"MKC479","Karara",1621,"116.777","-29.1807",True,NULL,NULL,37125,"RC","175","0101000020E610000000000020B4315D40000000E0442E3DC0"
1233151,"82655KararaMKC480",82655,"MKC480","Karara",1621,"116.777","-29.1838",True,NULL,NULL,37125,"RC","170","0101000020E6100000000000A0BB315D4000000040102F3DC0"
1233152,"82655KararaMKC481",82655,"MKC481","Karara",1621,"116.777","-29.1904",True,NULL,NULL,37125,"RC","150","0101000020E6100000000000A0B5315D4000000040BD303DC0"
1233153,"82655KararaMKC484",82655,"MKC484","Karara",1621,"116.778","-29.1894",True,NULL,NULL,37125,"RC","180","0101000020E6100000000000C0CB315D40000000C07F303DC0"
1233154,"82655KararaMKC485",82655,"MKC485","Karara",1621,"116.773","-29.1852",True,NULL,NULL,37125,"RC","180","0101000020E61000000000004076315D40000000E06B2F3DC0"
1233155,"82655KararaMKC486",82655,"MKC486","Karara",1621,"116.776","-29.1826",True,NULL,NULL,37125,"RC","168","0101000020E610000000000060A4315D4000000040C12E3DC0"
1233156,"82655KararaMKC487",82655,"MKC487","Karara",1621,"116.777","-29.1788",True,NULL,NULL,37125,"RC","170","0101000020E610000000000000BE315D4000000020C72D3DC0"
1233157,"82655KararaMKC488",82655,"MKC488","Karara",1621,"116.776","-29.1776",True,NULL,NULL,37125,"RC","137","0101000020E610000000000080A7315D4000000020752D3DC0"
1233172,"82655KararaMKC519",82655,"MKC519","Karara",1621,"116.758","-29.1729",True,NULL,NULL,37125,"RC","138","0101000020E6100000000000C07B305D4000000060402C3DC0"
1233179,"82655KararaMKC527",82655,"MKC527","Karara",1621,"116.749","-29.1723",True,NULL,NULL,37125,"RC","126","0101000020E610000000000060EC2F5D40000000201B2C3DC0"
1233185,"82655KararaMKC533",82655,"MKC533","Karara",1621,"116.75","-29.1759",True,NULL,NULL,37125,"RC","126","0101000020E610000000000020FC2F5D40000000A0072D3DC0"
1233205,"82655KararaMKC553",82655,"MKC553","Karara",1621,"116.773","-29.1904",True,NULL,NULL,37125,"RC","216","0101000020E6100000000000E074315D4000000040BE303DC0"
1233206,"82655KararaMKC554",82655,"MKC554","Karara",1621,"116.776","-29.1913",True,NULL,NULL,37125,"RC","138","0101000020E610000000000060A6315D4000000060F9303DC0"
1233207,"82655KararaMKD042",82655,"MKD042","Karara",1621,"116.774","-29.1894",True,NULL,NULL,37125,"DD","450","0101000020E6100000000000408D315D40000000407F303DC0"
1233208,"82655KararaMKD054",82655,"MKD054","Karara",1621,"116.781","-29.1793",True,NULL,NULL,37125,"DD","443.2","0101000020E6100000000000E0F6315D4000000060E62D3DC0"
1233209,"82655KararaMKD117",82655,"MKD117","Karara",1621,"116.821","-29.149",True,NULL,NULL,37125,"DD","215","0101000020E6100000000000808C345D400000000027263DC0"
1233210,"82655KararaMKD124",82655,"MKD124","Karara",1621,"116.774","-29.1876",True,NULL,NULL,37125,"DD","703.2","0101000020E6100000000000E090315D40000000E003303DC0"
1233211,"82655KararaMKD132",82655,"MKD132","Karara",1621,"116.775","-29.1904",True,NULL,NULL,37125,"DD","444.7","0101000020E61000000000004095315D4000000080C0303DC0"
1233212,"82655KararaMKD178",82655,"MKD178","Karara",1621,"116.776","-29.1904",True,NULL,NULL,37125,"DD","467","0101000020E610000000000040A5315D4000000020C0303DC0"
1233213,"82655KararaMKD190",82655,"MKD190","Karara",1621,"116.774","-29.1886",True,NULL,NULL,37125,"DD","452.4","0101000020E6100000000000A084315D40000000C046303DC0"
1233214,"82655KararaMKD200",82655,"MKD200","Karara",1621,"116.774","-29.1886",True,NULL,NULL,37125,"DD","500.1","0101000020E6100000000000208D315D40000000E047303DC0"
1233215,"82655KararaMKD219",82655,"MKD219","Karara",1621,"116.776","-29.1912",True,NULL,NULL,37125,"DD","288.2","0101000020E610000000000020A6315D4000000060F4303DC0"
1233216,"82655KararaMKD251",82655,"MKD251","Karara",1621,"116.774","-29.1877",True,NULL,NULL,37125,"DD","556.4","0101000020E6100000000000C08A315D40000000200C303DC0"
1233217,"82655KararaMKD378",82655,"MKD378","Karara",1621,"116.775","-29.1913",True,NULL,NULL,37125,"DD","275","0101000020E61000000000000095315D4000000000F7303DC0"
1233218,"82655KararaMKD380",82655,"MKD380","Karara",1621,"116.774","-29.1904",True,NULL,NULL,37125,"DD","356.1","0101000020E6100000000000E08E315D4000000060BD303DC0"
1233219,"82655KararaMKD381",82655,"MKD381","Karara",1621,"116.775","-29.1904",True,NULL,NULL,37125,"DD","342.6","0101000020E6100000000000009E315D40000000E0BD303DC0"
1233220,"82655KararaMKD382",82655,"MKD382","Karara",1621,"116.775","-29.1904",True,NULL,NULL,37125,"DD","311.1","0101000020E6100000000000C09D315D40000000C0BC303DC0"
1233221,"82655KararaMKD384",82655,"MKD384","Karara",1621,"116.774","-29.1912",True,NULL,NULL,37125,"DD","302.1","0101000020E6100000000000208D315D4000000080F4303DC0"
1233222,"82655KararaMKD399",82655,"MKD399","Karara",1621,"116.774","-29.1895",True,NULL,NULL,37125,"DD","540.6","0101000020E6100000000000608D315D40000000E081303DC0"
1233223,"82655KararaMKD400",82655,"MKD400","Karara",1621,"116.774","-29.1894",True,NULL,NULL,37125,"DD","501.3","0101000020E6100000000000808D315D40000000607D303DC0"
1233224,"82655KararaMKD417",82655,"MKD417","Karara",1621,"116.774","-29.1886",True,NULL,NULL,37125,"DD","597.1","0101000020E6100000000000A08D315D40000000E047303DC0"
1233225,"82655KararaMKD420",82655,"MKD420","Karara",1621,"116.817","-29.1508",True,NULL,NULL,37125,"DD","221.3","0101000020E61000000000006042345D40000000A09A263DC0"
1233226,"82655KararaMKD423",82655,"MKD423","Karara",1621,"116.818","-29.1498",True,NULL,NULL,37125,"DD","317.4","0101000020E61000000000000060345D40000000805B263DC0"
1233227,"82655KararaMKD427",82655,"MKD427","Karara",1621,"116.823","-29.1467",True,NULL,NULL,37125,"DD","260.1","0101000020E610000000000060B3345D40000000408C253DC0"
1233228,"82655KararaMKD437",82655,"MKD437","Karara",1621,"116.823","-29.1486",True,NULL,NULL,37125,"DD","245","0101000020E610000000000060B3345D400000004008263DC0"
1233229,"82655KararaMKD438",82655,"MKD438","Karara",1621,"116.822","-29.1476",True,NULL,NULL,37125,"DD","147.4","0101000020E610000000000060A1345D4000000040CA253DC0"
1233231,"82655KararaMKD443",82655,"MKD443","Karara",1621,"116.821","-29.1485",True,NULL,NULL,37125,"DD","247.4","0101000020E61000000000002083345D40000000E005263DC0"
