"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"237639552",32037865,"Lith2","IRST",NULL,NULL,1402350,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639551",32037865,"Desc11","PIS",NULL,NULL,1402325,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639550",32037865,"Lith1","LATT",NULL,NULL,1402324,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639549",32037865,"Regolith_zone","LLP",NULL,NULL,1402322,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639548",32037865,"Regolith_Regime","R",NULL,NULL,1402320,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639547",32037865,"Log_Conf","P",NULL,NULL,1402318,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639546",32037865,"Weathering","S",NULL,NULL,1402317,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639545",32037865,"RL","0",NULL,NULL,1402315,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639544",32037865,"Data_Type","INT",NULL,NULL,1402310,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639543",32037865,"Sheet_Number","2239",NULL,NULL,1402308,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639542",32037865,"Company","NXA450",NULL,NULL,1402307,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639541",32037865,"Prospect_Code","MNJY.15",NULL,NULL,1402306,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"86480078",11470438,"H2O","D",NULL,NULL,511785,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480077",11470438,"SQ","G",NULL,NULL,511784,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480076",11470438,"Mineralisation3","cly",NULL,NULL,511777,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480075",11470438,"Mineralisation2","mnt",NULL,NULL,511776,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480074",11470438,"Mineralisation1","goe",NULL,NULL,511775,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480073",11470438,"Grain","Fg",NULL,NULL,511774,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480072",11470438,"Lithology1","Sif",NULL,NULL,511772,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480071",11470438,"Weathering Intensity","Lkf",NULL,NULL,511770,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
"86480070",11470438,"Colour","yegy",NULL,NULL,511769,11470438,792810,"13","15",NULL,NULL,NULL,NULL,22458
