Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,
3050,1146650,80,84,Ac,carbonatite,carbonatite,101,
3050,1146650,80,84,Ac,carbonatite,carbonatite,101,
3050,1146650,80,84,Ac,carbonatite,carbonatite,101,
3050,1146650,84,85,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,84,85,X,unknown rock,rock,101,
3050,1146650,84,85,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,84,85,X,unknown rock,rock,101,
3050,1146650,84,85,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,84,85,X,unknown rock,rock,101,
3050,1146650,89,91,V,Vein,vein,101,
3050,1146650,89,91,V,Vein,vein,101,
3050,1146650,89,91,V,Vein,vein,101,
3050,1146650,97,109,V,Vein,vein,101,
3050,1146650,97,109,V,Vein,vein,101,
3050,1146650,97,109,V,Vein,vein,101,
1621,1233095,0,12,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,0,12,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,0,12,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,12,17,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,12,17,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,12,17,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,17,29,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,17,29,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,17,29,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,29,35,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,29,35,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,29,35,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,35,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,35,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,35,42,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,42,46,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,42,46,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,42,46,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,46,55,Sif,iron-formation,banded_iron_formation,90,
1621,1233095,46,55,Sif,iron-formation,banded_iron_formation,90,
